Trace ID,User Query,AI Response,Assumes device,Notes,Split
A001,row keeps losing its connection to coach,"For the BeefCake Row, keep your phone within 3 meters of the Row, turn Bluetooth off and on again, and restart the Coach app.",PASS,Clearly the Row (second phrasing).,train
A002,how do i pair the kettlebell,"Could you tell me which device you mean, so I can give you the right steps?",PASS,"The product was already clear. Asking is unnecessary, but it isn't this failure.",dev
A003,how long does the kettlebell battery last,"Sure! Is this for your Row, your Bell, or your Pulse?",PASS,"The product was already clear. Asking is unnecessary, but it isn't this failure.",test
A004,my heart rate thing shows weird numbers,Here's what to do on the Pulse: wet the electrode pads and move the strap just below your chest muscles. Readings settle once you start to sweat.,PASS,Clearly the Pulse (second phrasing).,dev
A005,how long does the kettlebell battery last,"On your BeefCake Bell, put it back in its cradle after workouts so it sleeps, because staying connected to the app drains the battery. A full charge lasts about 30 workouts.",PASS,Clearly the Bell.,train
A006,can i wash it,"On your BeefCake Pulse, rinse the strap in clean water and let it air dry. Unclip the sensor first, and never put the sensor in the washing machine.",FAIL,Ambiguous message; the bot assumed the Pulse.,test
A007,every resistance level feels the same,"Happy to help! Which BeefCake product is this: the Row, the Bell, or the Pulse?",PASS,"The product was already clear. Asking is unnecessary, but it isn't this failure.",test
A008,how do i reset the rowing machine,"Happy to help! Which BeefCake product is this: the Row, the Bell, or the Pulse?",PASS,"The product was already clear. Asking is unnecessary, but it isn't this failure.",test
A009,it doesn't turn on anymore,"For the BeefCake Pulse, wet the electrode pads and put the strap on so it wakes up. If nothing happens, replace the CR2032 coin battery.",FAIL,Ambiguous message; the bot assumed the Pulse.,test
A010,readings are all over the place,"Could you tell me which device you mean, so I can give you the right steps?",PASS,Ambiguous message; the bot asked which product.,dev
A011,every resistance level feels the same,"For the BeefCake Row, calibrate the resistance: go to Settings > Resistance > Calibrate and row 10 easy strokes.",PASS,Clearly the Row (second phrasing).,test
A012,the numbers seem off,"Could you tell me which device you mean, so I can give you the right steps?",PASS,Ambiguous message; the bot asked which product.,dev
A013,"it's completely dead, no lights nothing","Could you tell me which device you mean, so I can give you the right steps?",PASS,Ambiguous message; the bot asked which product.,test
A014,can't get it to pair,"On your BeefCake Bell, hold the button under the handle for 3 seconds until the light flashes blue, then add the Bell in the Coach app under Devices.",FAIL,Ambiguous message; the bot assumed the Bell.,dev
A015,how do i pair the kettlebell,"For the BeefCake Row, go to Settings > Connections > Coach app on the screen and select Pair, then add it in the Coach app under Devices.",PASS,"Clearly the Bell, but the bot answered about the Row. That's a different failure mode (wrong device), so it passes THIS rubric.",dev
A016,the rower has no power,"For the BeefCake Row, check that the power adapter is plugged in at both ends and the switch on the front base is on. A green light on the adapter means it's getting power.",PASS,Clearly the Row (second phrasing).,dev
A017,the weight dial on my bel won't turn,Here's what to do on the Bell: set the Bell fully in its cradle on a flat floor. The dial only turns when it's seated.,PASS,Clearly the Bell (second phrasing).,test
A018,connection keeps cutting out mid workout,"On your BeefCake Pulse, wet the electrode pads, tighten the strap, and keep the paired device within 2 meters. It connects to one device at a time.",FAIL,Ambiguous message; the bot assumed the Pulse.,train
A019,it drops the bluetooth every few minutes,"On your BeefCake Pulse, wet the electrode pads, tighten the strap, and keep the paired device within 2 meters. It connects to one device at a time.",FAIL,Ambiguous message; the bot assumed the Pulse.,train
A020,it drops the bluetooth every few minutes,"On your BeefCake Row, keep your phone within 3 meters of the Row, turn Bluetooth off and on again, and restart the Coach app.",FAIL,Ambiguous message; the bot assumed the Row.,dev
A021,how do i clean the rower seat,"Happy to help! Which BeefCake product is this: the Row, the Bell, or the Pulse?",PASS,"The product was already clear. Asking is unnecessary, but it isn't this failure.",dev
