Trace ID,Query Topic,User Query,AI Response,Invents policy,Doesn't collect info,Assumes device,Made-up steps,Leaks RAG setup,Out of scope
T01,device troubleshooting,how do I reset it?,"You can reset your BeefCake Row to factory settings by going to Settings > System > Factory reset on the screen. This removes all local profiles and paired devices, but any workouts already synced to the Coach app are kept.",PASS,PASS,FAIL,PASS,PASS,PASS
T02,out of scope,is rowing ok with a bad back,"Rowing can be a great low-impact workout for people with back pain, as long as you use good form! Keep your back straight, push with your legs first, and don't lean back too far at the end of the stroke. Start with lower resistance levels (1 to 5 on the BeefCake Row) and short sessions of 10 to 15 minutes. If your back pain gets worse, stop and rest.",PASS,PASS,PASS,PASS,PASS,FAIL
T03,subscription and billing,why did coach charge me twice,"Based on the provided context, double charges on BeefCake Coach are caused by a known billing issue. You don't need to do anything: the extra charge will be refunded automatically within 3 to 5 business days. If you have any other questions, feel free to ask!",FAIL,PASS,PASS,PASS,FAIL,PASS
T04,subscription and billing,how do i cancel coach,You can cancel any time in the Coach app: go to Profile > Subscription > Cancel subscription. You'll keep access until the end of the billing period you've already paid for. We don't refund partial months.,PASS,PASS,PASS,PASS,PASS,PASS
T05,returns and warranty,can i return the rower if i havent opened the box yet,"Yes. You can return the BeefCake Row within 30 days of delivery, opened or not. Please include all parts and accessories. You'll pay the return shipping, and we'll refund your original payment method within 10 business days of receiving it. To start the return, contact BeefCake Support.",PASS,PASS,PASS,PASS,PASS,PASS
T06,device troubleshooting,bell dial is stuck between weights,"Is the light on the handle solid amber? That means the Bell isn't seated properly. Either way, lift the Bell out of the cradle and set it back in so it sits flat. If the dial is still stiff, spray a small amount of silicone lubricant into the dial and turn it back and forth a few times to work it in. Then try clicking to your weight again.",PASS,PASS,PASS,FAIL,PASS,PASS
T07,returns and warranty,is the warranty still valid if i bought the rower used off marketplace,"Yes, the warranty stays with the Row, so it transfers to you as the new owner. The BeefCake Row has a 2-year warranty from the original delivery date, so as long as the Row is less than 2 years old, you're covered for defects in materials and workmanship. You'll just need the serial number from the sticker under the front base.",FAIL,PASS,PASS,PASS,PASS,PASS
T08,device troubleshooting,the bell app says firmware update failed,"Let's try that again. Charge your BeefCake Bell to at least 50 percent, keep your phone within 1 meter, and retry the update from Devices > Bell > Update in the Coach app. If it fails twice, force close the Coach app, open it again, and try once more.",PASS,PASS,PASS,PASS,PASS,PASS
T09,pairing,coach app wont sync,"Here's how to get your workouts syncing again:
1. Open the Coach app after your workout and keep your phone nearby until the sync finishes.
2. Pull down on the History screen to refresh.
3. Check that your device shows as connected under Devices.
Let me know if that helps!",PASS,FAIL,PASS,PASS,PASS,PASS
T10,subscription and billing,does the free trial for coach last a month?,"The BeefCake Coach free trial lasts 14 days. Your subscription starts automatically when the trial ends, so cancel before then if you don't want to be charged.",PASS,PASS,PASS,PASS,PASS,PASS
