User Query,Expected agent
coach charged me twice after I returned the rower,orders_billing
the rower screen is frozen,device_support
can i return the kettlebell,orders_billing
how long is the warranty on my pulse,orders_billing
my pulse keeps disconnecting from the rower,device_support
where is my order BC-4417,orders_billing
how do i calibrate the rower resistance,device_support
i was billed after cancelling coach,orders_billing
bell dial is stuck,device_support
the rower arrived with a scratched rail,orders_billing
how do i pair the bell with my phone,device_support
refund for my rower please,orders_billing
