Question,Answer A,Answer B
my beefcake bell won't turn on,Charge it over USB-C through the port under the handle. A full charge takes about 2 hours.,"Charge it over USB-C through the port under the handle. A full charge takes about 2 hours. I hope this helps, and please don't hesitate to reach out if you have any other questions at all!"
the rower has no power,"Check that the power adapter is plugged in at both ends and the switch on the front base is on. A green light on the adapter means it's getting power. Thanks so much for being a BeefCake customer, and enjoy your workouts!",Check that the power adapter is plugged in at both ends and the switch on the front base is on. A green light on the adapter means it's getting power.
chest strap keeps disconnecting,"Wet the electrode pads, tighten the strap, and keep the paired device within 2 meters. It connects to one device at a time.","Wet the electrode pads, tighten the strap, and keep the paired device within 2 meters. It connects to one device at a time. Thanks so much for being a BeefCake customer, and enjoy your workouts!"
row keeps losing its connection to coach,"Keep your phone within 3 meters of the Row, turn Bluetooth off and on again, and restart the Coach app. I hope this helps, and please don't hesitate to reach out if you have any other questions at all!","Keep your phone within 3 meters of the Row, turn Bluetooth off and on again, and restart the Coach app."
how long does the kettlebell battery last,"Put it back in its cradle after workouts so it sleeps, because staying connected to the app drains the battery. A full charge lasts about 30 workouts.","Put it back in its cradle after workouts so it sleeps, because staying connected to the app drains the battery. A full charge lasts about 30 workouts. Let me know if there's anything else I can do for you today. We're always happy to help!"
pulse strap battery died already,Replace the CR2032 coin battery with the positive side facing up. A battery lasts about 6 months.,"Replace the CR2032 coin battery with the positive side facing up. A battery lasts about 6 months. Thanks so much for being a BeefCake customer, and enjoy your workouts!"
how do i pair the kettlebell,"Hold the button under the handle for 3 seconds until the light flashes blue, then add the Bell in the Coach app under Devices.","Hold the button under the handle for 3 seconds until the light flashes blue, then add the Bell in the Coach app under Devices. Let me know if there's anything else I can do for you today. We're always happy to help!"
pulse wont pair w my phone,"Put on the strap, open the Coach app, and go to Devices > Add device > Pulse. Don't pair it in your phone's Bluetooth settings.","Put on the strap, open the Coach app, and go to Devices > Add device > Pulse. Don't pair it in your phone's Bluetooth settings. Thanks so much for being a BeefCake customer, and enjoy your workouts!"
can i put the heart rate strap in the washing machine,"Rinse the strap in clean water and let it air dry. Unclip the sensor first, and never put the sensor in the washing machine.","Rinse the strap in clean water and let it air dry. Unclip the sensor first, and never put the sensor in the washing machine. Thanks so much for being a BeefCake customer, and enjoy your workouts!"
how do i clean the rower seat,"Wipe the rail and seat with a dry or slightly damp cloth, and don't use sprays on the screen. I hope this helps, and please don't hesitate to reach out if you have any other questions at all!","Wipe the rail and seat with a dry or slightly damp cloth, and don't use sprays on the screen."
my heart rate thing shows weird numbers,Wet the electrode pads and move the strap just below your chest muscles. Readings settle once you start to sweat.,"Wet the electrode pads and move the strap just below your chest muscles. Readings settle once you start to sweat. Thanks so much for being a BeefCake customer, and enjoy your workouts!"
every resistance level feels the same,Calibrate the resistance: go to Settings > Resistance > Calibrate and row 10 easy strokes.,"Calibrate the resistance: go to Settings > Resistance > Calibrate and row 10 easy strokes. I hope this helps, and please don't hesitate to reach out if you have any other questions at all!"
the weight dial on my bel won't turn,Set the Bell fully in its cradle on a flat floor. The dial only turns when it's seated. Let me know if there's anything else I can do for you today. We're always happy to help!,Set the Bell fully in its cradle on a flat floor. The dial only turns when it's seated.
how do i reset the rowing machine,"Go to Settings > System > Factory reset on the screen. A factory reset removes local profiles and paired devices, but workouts synced to the Coach app are kept. Let me know if there's anything else I can do for you today. We're always happy to help!","Go to Settings > System > Factory reset on the screen. A factory reset removes local profiles and paired devices, but workouts synced to the Coach app are kept."
how do i cancel coach,Go to Profile > Subscription > Cancel subscription. You keep access until the end of the billing period.,"Go to Profile > Subscription > Cancel subscription. You keep access until the end of the billing period. Thanks so much for being a BeefCake customer, and enjoy your workouts!"
can i return the rower if i already used it,"Yes. You can return it within 30 days of delivery, opened and used or not. You pay return shipping. I hope this helps, and please don't hesitate to reach out if you have any other questions at all!","Yes. You can return it within 30 days of delivery, opened and used or not. You pay return shipping."
how long is the free trial,The BeefCake Coach free trial lasts 14 days. Cancel before it ends to avoid being charged.,"The BeefCake Coach free trial lasts 14 days. Cancel before it ends to avoid being charged. I hope this helps, and please don't hesitate to reach out if you have any other questions at all!"
how long is the warranty on the bell,The BeefCake Bell has a 2-year warranty from the delivery date.,"The BeefCake Bell has a 2-year warranty from the delivery date. Thanks so much for being a BeefCake customer, and enjoy your workouts!"
where's the serial number on the rower,It's on a sticker under the front base of the Row.,It's on a sticker under the front base of the Row. Let me know if there's anything else I can do for you today. We're always happy to help!
my screen froze,Press and hold the power button on the side of the Row's screen for 5 seconds to restart it.,"Press and hold the power button on the side of the Row's screen for 5 seconds to restart it. Thanks so much for being a BeefCake customer, and enjoy your workouts!"
